price,geo_risk_score,location_rating,grade_of_the_house,number_of_bedrooms,number_of_bathrooms,living_area,investment_score,investment_recommendation
490000,0.2956268221574343,Low Risk,7,2,1.0,880,37.17801406276796,Moderate Investment
482000,0.2941690962099125,Low Risk,9,4,2.5,2710,50.01275315320933,Moderate Investment
470000,0.2918367346938775,Low Risk,8,5,2.5,2210,46.582560296846005,Moderate Investment
463000,0.0023323615160349,Low Risk,7,3,1.75,1710,28.665486974010378,Low Investment
459990,0.1475218658892128,Low Risk,8,3,2.5,2680,40.06665003663803,Moderate Investment
452500,0.2921282798833818,Low Risk,7,3,2.5,2430,42.18245739854383,Moderate Investment
445700,0.2970845481049562,Low Risk,8,3,2.5,1270,42.27910384933194,Moderate Investment
440000,0.153935860058309,Low Risk,8,4,2.25,2160,39.93283547185108,Moderate Investment
440000,0.151603498542274,Low Risk,7,2,1.0,800,31.203177374846042,Low Investment
439950,0.2950437317784256,Low Risk,8,3,2.5,1770,43.53436959199264,Moderate Investment
437500,0.1486880466472303,Low Risk,9,3,2.25,1970,41.2149015450336,Moderate Investment
436110,0.2997084548104956,Low Risk,8,3,2.5,1770,43.72095851327544,Moderate Investment
435000,0.1510204081632652,Low Risk,7,4,1.0,1450,34.91782167412419,Low Investment
430000,0.1504373177842565,Low Risk,7,4,1.5,1920,36.15118255094245,Moderate Investment
420000,0.005539358600583,Low Risk,8,3,2.25,2000,32.56916792691102,Low Investment
419000,0.2921282798833818,Low Risk,7,3,1.5,1570,39.882992157902116,Moderate Investment
407500,0.0049562682215743,Low Risk,8,3,2.5,1930,32.3586785363496,Low Investment
403000,0.5854227405247812,Medium Risk,8,3,2.0,1960,55.657551332221196,Moderate Investment
400000,0.0,Low Risk,9,4,2.5,3630,40.705882352941174,Moderate Investment
385000,0.1542274052478133,Low Risk,8,3,3.25,1320,36.698507974618416,Moderate Investment
382500,0.2932944606413993,Low Risk,7,4,1.75,1560,40.90290142030838,Moderate Investment
367500,0.2956268221574343,Low Risk,8,4,3.0,3110,48.14058090768775,Moderate Investment
365000,0.2915451895043731,Low Risk,7,3,1.0,1090,38.57624608284872,Moderate Investment
342000,0.1498542274052478,Low Risk,8,3,2.0,1930,38.15459690369654,Moderate Investment
335000,0.0008746355685131,Low Risk,8,2,2.0,1350,29.64461109118972,Low Investment
335000,0.2985422740524781,Low Risk,7,3,2.25,1580,40.16628989258041,Moderate Investment
315000,0.0081632653061224,Low Risk,7,3,1.0,1160,27.42813489031976,Low Investment
313000,0.2959183673469387,Low Risk,7,3,1.5,1340,39.41962239441231,Moderate Investment
308500,0.0058309037900874,Low Risk,7,2,1.0,850,25.50596342433077,Low Investment
300000,0.1504373177842565,Low Risk,7,3,2.5,2540,36.80893656163764,Moderate Investment
295000,0.0017492711370262,Low Risk,7,2,2.5,1630,27.428259615534525,Low Investment
287200,0.1521865889212827,Low Risk,7,3,3.0,1850,35.03398762102243,Moderate Investment
285000,0.2915451895043731,Low Risk,8,4,2.5,2200,45.544160521351394,Moderate Investment
285000,0.1527696793002915,Low Risk,8,3,2.5,2090,38.69902246612931,Moderate Investment
284000,0.2967930029154518,Low Risk,7,3,1.75,1800,40.684554341217,Moderate Investment
275000,0.2921282798833818,Low Risk,6,3,1.5,1180,35.84021140923902,Moderate Investment
260000,0.0058309037900874,Low Risk,7,4,2.0,1480,29.190455402940394,Low Investment
257950,0.2985422740524781,Low Risk,7,3,1.75,1370,39.6047925663772,Moderate Investment
242500,0.2924198250728863,Low Risk,7,3,1.5,1200,38.90534915264807,Moderate Investment
235000,0.2935860058309038,Low Risk,6,2,1.0,1210,34.97873435088321,Low Investment
625000,0.0052478134110787,Low Risk,8,4,2.75,2920,36.01739916745919,Moderate Investment
553000,0.0034985422740524,Low Risk,7,2,1.0,900,25.546358803261562,Low Investment
379880,0.1524781341107871,Low Risk,7,3,2.5,1650,34.510890070313835,Low Investment
310000,0.2973760932944606,Low Risk,6,3,1.0,1010,35.59557849113671,Moderate Investment
783500,0.0081632653061224,Low Risk,10,3,2.5,2850,40.94685146785987,Moderate Investment
775000,0.1501457725947522,Low Risk,9,2,2.5,2680,42.1716063048596,Moderate Investment
628000,0.0084548104956268,Low Risk,7,4,2.0,2280,31.434449104317054,Low Investment
365000,0.1536443148688046,Low Risk,8,3,2.5,2200,39.02812553592865,Moderate Investment
331950,0.4434402332361516,Medium Risk,8,4,2.5,2530,52.50231521179901,Moderate Investment
1090000,0.0020408163265306,Low Risk,11,4,2.5,4340,48.685910727927535,Moderate Investment
1030000,0.4451895043731778,Medium Risk,9,5,2.75,3190,58.336991939632995,Moderate Investment
900000,0.2997084548104956,Low Risk,7,3,1.0,1330,39.544487925040144,Moderate Investment
890000,0.0067055393586005,Low Risk,10,4,4.25,4420,46.08640339252584,Moderate Investment
890000,0.1486880466472303,Low Risk,10,5,3.5,4490,52.9528694594721,Moderate Investment
865000,0.2967930029154518,Low Risk,10,4,3.0,3690,55.73803027704588,Moderate Investment
855000,0.1489795918367347,Low Risk,8,4,2.75,2600,40.9110553312234,Moderate Investment
831000,0.2935860058309038,Low Risk,9,4,3.0,2170,48.54557927066931,Moderate Investment
830000,0.2979591836734693,Low Risk,9,4,2.5,3400,52.00927643784786,Moderate Investment
823000,0.2950437317784256,Low Risk,9,6,1.75,2920,52.60923590215307,Moderate Investment
800866,0.0011661807580174,Low Risk,10,5,2.5,3180,43.54932102711214,Moderate Investment
800000,0.2956268221574343,Low Risk,10,3,2.5,3240,53.488174490575446,Moderate Investment
787000,0.2985422740524781,Low Risk,8,3,1.75,1330,42.49784069471944,Moderate Investment
780000,0.5833819241982505,Medium Risk,9,4,2.5,2730,61.63474220857173,High Investment Potential
770000,0.0008746355685131,Low Risk,8,3,2.0,2350,33.31840788263357,Low Investment
755000,0.1478134110787172,Low Risk,7,4,2.5,2120,36.580985641009654,Moderate Investment
740000,0.1530612244897959,Low Risk,7,4,1.75,2010,36.49678053039398,Moderate Investment
736500,0.5839650145772594,Medium Risk,9,4,2.5,3180,62.86127437988182,High Investment Potential
712198,0.0014577259475218,Low Risk,8,4,2.5,2450,34.609111176938306,Low Investment
705380,0.297667638483965,Low Risk,9,3,2.5,2490,48.56445955005378,Moderate Investment
670000,0.2947521865889212,Low Risk,9,3,2.5,1680,46.28206607318251,Moderate Investment
665000,0.1507288629737609,Low Risk,8,4,2.5,2800,41.51578553499321,Moderate Investment
657100,0.0034985422740524,Low Risk,7,4,1.0,1390,28.856519231069047,Low Investment
650000,0.4387755102040816,Medium Risk,8,3,1.5,2160,50.32642147768198,Moderate Investment
631625,0.1466472303206997,Low Risk,9,4,2.5,2440,43.38995338395098,Moderate Investment
627000,0.2970845481049562,Low Risk,8,4,2.25,1990,45.20423753917151,Moderate Investment
620000,0.153935860058309,Low Risk,9,3,1.75,1480,40.11465365366926,Moderate Investment
618500,0.003206997084548,Low Risk,7,3,2.0,1800,28.94111410798085,Low Investment
615000,0.3002915451895043,Low Risk,9,4,1.75,2300,49.16139442790102,Moderate Investment
600000,0.0008746355685131,Low Risk,8,3,1.75,1670,31.500226064451752,Low Investment
600000,0.1524781341107871,Low Risk,7,3,1.75,1880,35.12586333234592,Moderate Investment
585000,0.2924198250728863,Low Risk,6,2,1.0,1770,36.429413323771065,Moderate Investment
580000,0.2924198250728863,Low Risk,8,2,1.0,2540,44.488236853182826,Moderate Investment
570000,0.1463556851311953,Low Risk,8,3,2.25,2010,38.22855895604995,Moderate Investment
560000,0.1521865889212827,Low Risk,8,3,2.5,1900,38.167677460594625,Moderate Investment
555000,0.2973760932944606,Low Risk,8,3,2.5,1940,44.08220950717949,Moderate Investment
549000,0.0034985422740524,Low Risk,7,2,1.0,1140,26.188070033208085,Low Investment
549000,0.2991253644314868,Low Risk,8,4,2.5,2910,47.74576324036108,Moderate Investment
541125,0.003206997084548,Low Risk,8,5,2.75,2740,36.45448309193807,Moderate Investment
531000,0.0026239067055393,Low Risk,8,2,3.0,1270,29.50067819335526,Low Investment
525888,0.1501457725947522,Low Risk,7,5,1.75,2550,38.824012721971904,Moderate Investment
524000,0.2944606413994168,Low Risk,6,3,1.75,1560,36.949548650629076,Moderate Investment
509900,0.0002915451895043,Low Risk,8,3,2.5,1790,31.797758064264663,Low Investment
501000,0.1527696793002915,Low Risk,7,4,1.0,2070,36.645546530300436,Moderate Investment
499000,0.0087463556851311,Low Risk,7,4,2.5,2910,33.13060289050685,Low Investment
497300,0.4443148688046647,Medium Risk,8,6,2.75,3200,56.32874448480691,Moderate Investment
487585,0.2967930029154518,Low Risk,7,4,1.75,2010,42.24605166742021,Moderate Investment
485000,0.007871720116618,Low Risk,8,4,3.0,2340,34.57155329664333,Low Investment
478000,0.1460641399416909,Low Risk,9,3,2.5,3040,43.970907843656946,Moderate Investment
449250,0.0020408163265306,Low Risk,7,4,2.0,1480,29.038851904398122,Low Investment
435000,0.2921282798833818,Low Risk,7,5,2.0,1840,42.60491729159196,Moderate Investment
419190,0.1457725947521865,Low Risk,8,2,2.5,1590,36.08224068848318,Moderate Investment
418000,0.1542274052478133,Low Risk,7,3,2.0,1410,33.93914968584836,Low Investment
416286,0.0046647230320699,Low Risk,8,3,2.5,1408,30.951294803635736,Low Investment
415000,0.297667638483965,Low Risk,8,3,2.25,1620,43.23825634149763,Moderate Investment
410000,0.0017492711370262,Low Risk,8,3,2.25,1800,31.88280507007998,Low Investment
406100,0.1486880466472303,Low Risk,8,3,2.25,1410,36.71757534182504,Moderate Investment
405000,0.2932944606413993,Low Risk,8,2,3.0,1410,41.50183190159181,Moderate Investment
400000,0.1466472303206997,Low Risk,7,2,1.75,2110,34.50760044277451,Low Investment
400000,0.1460641399416909,Low Risk,7,2,1.0,840,31.08855490248047,Low Investment
398750,0.2921282798833818,Low Risk,7,3,2.5,2230,41.64769804025506,Moderate Investment
384900,0.1507288629737609,Low Risk,8,5,2.5,3090,43.291186604511935,Moderate Investment
379950,0.0023323615160349,Low Risk,7,4,1.75,1970,30.36067413978578,Low Investment
366750,0.0052478134110787,Low Risk,8,3,3.0,1571,31.410447295801436,Low Investment
340000,0.2947521865889212,Low Risk,7,5,1.0,1120,40.784739869973954,Moderate Investment
340000,0.0023323615160349,Low Risk,7,2,1.5,1160,26.19489873871626,Low Investment
329950,0.1501457725947522,Low Risk,6,2,1.0,1140,29.053959246036076,Low Investment
328000,0.2973760932944606,Low Risk,9,4,2.5,2370,49.231942127500346,Moderate Investment
309950,0.2950437317784256,Low Risk,7,4,2.75,2310,42.978219859372324,Moderate Investment
309950,0.2997084548104956,Low Risk,7,3,2.5,1880,41.01507616033426,Moderate Investment
300000,0.2985422740524781,Low Risk,7,3,2.0,1050,38.749177593115164,Moderate Investment
287000,0.1513119533527697,Low Risk,7,3,1.0,1450,33.929483481704374,Low Investment
249950,0.2959183673469387,Low Risk,6,3,2.0,1550,36.98111972061552,Moderate Investment
245000,0.2991253644314868,Low Risk,7,3,1.75,1920,41.098704416831666,Moderate Investment
232000,0.1527696793002915,Low Risk,6,2,1.0,1200,29.31934332174428,Low Investment
220000,0.0081632653061224,Low Risk,7,4,1.5,1240,28.64203863363527,Low Investment
219900,0.2924198250728863,Low Risk,6,4,1.5,1120,36.69144540933256,Moderate Investment
210000,0.0064139941690962,Low Risk,5,3,1.0,1340,21.83944746729861,Low Investment
210000,0.0020408163265306,Low Risk,6,5,2.0,2050,28.562916075521116,Low Investment
206000,0.1472303206997084,Low Risk,6,2,1.0,810,28.054988229057855,Low Investment
184000,0.0072886297376093,Low Risk,7,3,1.75,1490,28.27550240875571,Low Investment
1050000,0.2959183673469387,Low Risk,9,3,2.5,2200,47.71908763505402,Moderate Investment
979000,0.0043731778425655,Low Risk,10,3,2.5,2690,40.367440482686575,Moderate Investment
910000,0.0058309037900874,Low Risk,9,3,3.5,3020,38.30810246176392,Moderate Investment
860000,0.1478134110787172,Low Risk,9,4,2.0,3740,46.91253644314869,Moderate Investment
776000,0.1524781341107871,Low Risk,8,4,2.5,3040,42.22746761042079,Moderate Investment
762300,0.2988338192419825,Low Risk,10,4,2.5,3880,56.32768432048144,Moderate Investment
736000,0.0087463556851311,Low Risk,9,4,2.5,2290,37.472848879811664,Moderate Investment
725126,0.1513119533527697,Low Risk,10,4,2.5,3200,48.608627866731105,Moderate Investment
685000,0.2932944606413993,Low Risk,9,4,2.5,3030,50.83338270373084,Moderate Investment
675000,0.5833819241982505,Medium Risk,6,2,1.0,930,45.8219079839728,Moderate Investment
655500,0.146938775510204,Low Risk,8,4,3.5,3380,42.91498417548838,Moderate Investment
650000,0.1501457725947522,Low Risk,7,3,1.5,1630,34.36411967384356,Low Investment
650000,0.2956268221574343,Low Risk,8,5,3.5,3480,50.12988572052197,Moderate Investment
612500,0.0040816326530612,Low Risk,7,4,2.0,2060,30.67128669649678,Low Investment
610000,0.1463556851311953,Low Risk,8,4,3.0,2450,40.40502954428524,Moderate Investment
609000,0.1489795918367347,Low Risk,9,4,2.5,2150,42.70784677507367,Moderate Investment
606000,0.1545189504373177,Low Risk,9,4,2.5,2110,42.82246924743923,Moderate Investment
599000,0.2979591836734693,Low Risk,8,4,2.25,2260,45.96114809560187,Moderate Investment
580000,0.003206997084548,Low Risk,10,4,3.25,3569,43.67106063204503,Moderate Investment
575000,0.5895043731778425,Medium Risk,8,3,1.75,2130,56.275362092889104,Moderate Investment
563000,0.1495626822157434,Low Risk,8,4,3.0,3100,42.27127734210568,Moderate Investment
562000,0.2938775510204081,Low Risk,8,5,2.25,3040,48.88344428680563,Moderate Investment
561000,0.1510204081632652,Low Risk,7,3,2.0,2000,35.388409909418314,Moderate Investment
535000,0.2985422740524781,Low Risk,8,3,2.5,1850,43.888215026270245,Moderate Investment
533000,0.0002915451895043,Low Risk,7,5,2.75,1800,30.824496032179102,Low Investment
530000,0.2991253644314868,Low Risk,7,5,2.5,2910,45.74576324036108,Moderate Investment
525000,0.2944606413994168,Low Risk,9,3,2.5,2970,49.71960212656491,Moderate Investment
520000,0.0008746355685131,Low Risk,8,3,2.5,2460,33.61252552969239,Low Investment
518000,0.1463556851311953,Low Risk,7,3,1.5,1430,33.67775681701252,Low Investment
515000,0.2941690962099125,Low Risk,8,3,2.5,1790,43.552860105080995,Moderate Investment
513000,0.2938775510204081,Low Risk,8,4,2.5,2000,45.10269562370402,Moderate Investment
500000,0.0069970845481049,Low Risk,8,3,2.5,1480,31.237102633261095,Low Investment
499000,0.0075801749271137,Low Risk,7,2,1.75,1170,26.431549243073853,Low Investment
488000,0.0067055393586005,Low Risk,7,5,2.0,2020,31.6692910930606,Low Investment
485000,0.1530612244897959,Low Risk,7,3,2.0,1420,33.919240423442105,Low Investment
484000,0.146938775510204,Low Risk,7,2,1.75,1660,33.31605369420495,Low Investment
483500,0.1486880466472303,Low Risk,8,4,2.5,2740,41.27372507444536,Moderate Investment
475000,0.2959183673469387,Low Risk,7,6,3.0,3470,48.11480956018771,Moderate Investment
469000,0.1513119533527697,Low Risk,7,2,1.0,1030,31.806488829297955,Low Investment
465000,0.2985422740524781,Low Risk,8,3,2.25,1970,44.20907064124351,Moderate Investment
460000,0.1478134110787172,Low Risk,8,2,2.25,1230,35.201306496624625,Moderate Investment
455000,0.153935860058309,Low Risk,7,5,2.5,2240,38.14673921516658,Moderate Investment
450000,0.2944606413994168,Low Risk,7,2,2.0,1100,37.71960212656491,Moderate Investment
425000,0.0058309037900874,Low Risk,7,4,2.0,1520,29.29740727459815,Low Investment
407000,0.1483965014577259,Low Risk,7,4,2.25,2810,38.44922904226625,Moderate Investment
404000,0.0046647230320699,Low Risk,7,4,1.75,1840,30.106375017539477,Low Investment
397000,0.2956268221574343,Low Risk,7,4,2.0,1440,40.675340265976516,Moderate Investment
390000,0.3,Low Risk,7,3,1.75,1260,39.36898395721925,Moderate Investment
390000,0.0023323615160349,Low Risk,7,5,3.75,2890,33.82056718791412,Low Investment
387000,0.1527696793002915,Low Risk,7,3,1.0,1230,33.3995572254876,Low Investment
385000,0.3002915451895043,Low Risk,7,3,1.75,1900,41.09187571132348,Moderate Investment
379900,0.1501457725947522,Low Risk,7,4,1.75,1500,35.016526090955864,Moderate Investment
369950,0.1518950437317784,Low Risk,8,3,2.0,1270,36.47152367440483,Moderate Investment
367500,0.1463556851311953,Low Risk,8,3,1.5,1410,36.624280881183644,Moderate Investment
365000,0.003206997084548,Low Risk,7,3,1.5,1310,27.630953680173366,Low Investment
362000,0.1486880466472303,Low Risk,7,3,2.25,1640,34.33254860385713,Low Investment
360000,0.0075801749271137,Low Risk,8,4,2.0,2680,35.46898239815407,Moderate Investment
353000,0.1504373177842565,Low Risk,6,3,1.0,1350,30.627118379819457,Low Investment
345000,0.1501457725947522,Low Risk,8,4,2.5,2331,40.2384512246457,Moderate Investment
345000,0.2970845481049562,Low Risk,7,3,1.0,1110,38.85129636270092,Moderate Investment
329350,0.1536443148688046,Low Risk,6,2,1.0,720,28.070906284591757,Low Investment
325000,0.0005830903790087,Low Risk,7,4,2.5,1890,30.076799550989225,Low Investment
313950,0.1478134110787172,Low Risk,6,3,1.0,1510,30.949969598228904,Low Investment
312000,0.0046647230320699,Low Risk,7,4,2.0,1300,28.6625247501598,Low Investment
295000,0.3,Low Risk,9,3,2.25,1980,47.294117647058826,Moderate Investment
284000,0.2935860058309038,Low Risk,7,4,2.5,2000,42.091033816123854,Moderate Investment
280000,0.1472303206997084,Low Risk,7,3,1.75,1630,34.247501598041815,Low Investment
279900,0.437609329446064,Medium Risk,7,3,1.75,1580,45.728972108323845,Moderate Investment
272000,0.005539358600583,Low Risk,7,3,2.5,1650,28.633339049905672,Low Investment
250000,0.2994169096209912,Low Risk,6,3,1.0,1050,35.78416301585569,Moderate Investment
234000,0.0017492711370262,Low Risk,7,3,1.75,1490,28.053928064732386,Low Investment
219000,0.149271137026239,Low Risk,6,2,1.0,900,28.377262593349023,Low Investment
218000,0.1530612244897959,Low Risk,8,3,1.75,1850,38.06897304376296,Moderate Investment
197000,0.153935860058309,Low Risk,7,3,1.75,1690,34.67615097987247,Low Investment
191000,0.1545189504373177,Low Risk,6,3,1.5,800,29.31979545064779,Low Investment
175000,0.0087463556851311,Low Risk,7,3,1.0,1010,27.050388986763533,Low Investment
136500,0.0026239067055393,Low Risk,6,3,1.5,1420,24.90174771207184,Low Investment
78000,0.1542274052478133,Low Risk,5,2,1.0,780,25.254657707238735,Low Investment
1110000,0.1513119533527697,Low Risk,7,4,1.5,2310,37.22894872234608,Moderate Investment
1040000,0.1478134110787172,Low Risk,10,4,3.5,3900,50.340343929779706,Moderate Investment
940000,0.1510204081632652,Low Risk,9,4,2.25,1890,42.09429226235949,Moderate Investment
900000,0.2988338192419825,Low Risk,9,5,3.75,4130,54.996133518342404,Moderate Investment
794154,0.1501457725947522,Low Risk,8,4,2.0,2210,39.914921812881,Moderate Investment
775000,0.5854227405247812,Medium Risk,8,3,2.0,2540,57.208353471258626,Moderate Investment
758000,0.1507288629737609,Low Risk,7,4,2.75,2410,37.473004786330115,Moderate Investment
750000,0.1457725947521865,Low Risk,7,3,2.75,2520,36.56887170452596,Moderate Investment
749950,0.1463556851311953,Low Risk,8,4,2.75,2600,40.806099063001824,Moderate Investment
705000,0.2994169096209912,Low Risk,8,4,2.5,2650,47.06223788216585,Moderate Investment
690000,0.2932944606413993,Low Risk,7,3,2.0,1760,40.43766077859715,Moderate Investment
675000,0.1486880466472303,Low Risk,8,3,1.75,1680,37.439500475514876,Moderate Investment
675000,0.1460641399416909,Low Risk,10,4,4.0,3680,49.682137790181,Moderate Investment
651000,0.1483965014577259,Low Risk,10,3,2.5,3240,47.59896166258711,Moderate Investment
640000,0.0052478134110787,Low Risk,9,3,3.0,2270,36.27943125302069,Moderate Investment
630000,0.0072886297376093,Low Risk,8,3,2.5,2680,34.45732059057389,Low Investment
630000,0.2915451895043731,Low Risk,10,2,2.25,2550,50.47998939835674,Moderate Investment
618080,0.0040816326530612,Low Risk,8,3,2.5,2030,32.591072792753465,Low Investment
610950,0.2967930029154518,Low Risk,8,3,3.0,1680,43.36369872624374,Moderate Investment
600000,0.0072886297376093,Low Risk,9,3,2.5,2460,36.86908529645624,Moderate Investment
599999,0.0052478134110787,Low Risk,7,9,4.5,3830,40.4505542476731,Moderate Investment
599000,0.1498542274052478,Low Risk,7,3,1.75,1960,35.23481080743986,Moderate Investment
581000,0.1475218658892128,Low Risk,7,4,2.0,2510,37.61210458209258,Moderate Investment
575000,0.2994169096209912,Low Risk,7,4,2.0,1650,41.388441090722004,Moderate Investment
568000,0.0043731778425655,Low Risk,8,3,2.0,2350,33.45834957359567,Low Investment
560000,0.591545189504373,Medium Risk,9,3,3.0,4120,64.67785036092359,High Investment Potential
560000,0.2982507288629737,Low Risk,8,3,2.0,1860,43.903291186604505,Moderate Investment
540000,0.1501457725947522,Low Risk,8,7,5.75,3700,46.898879032132335,Moderate Investment
535000,0.0064139941690962,Low Risk,9,3,1.75,2720,37.52928703949112,Moderate Investment
535000,0.2959183673469387,Low Risk,8,3,2.5,2280,44.93299137836952,Moderate Investment
530000,0.1483965014577259,Low Risk,7,3,1.0,1340,33.518747758843794,Low Investment
526000,0.2956268221574343,Low Risk,7,2,2.0,1550,38.96945791303534,Moderate Investment
519950,0.297667638483965,Low Risk,8,3,2.25,1170,42.0350477853479,Moderate Investment
515000,0.4425655976676384,Medium Risk,7,3,1.75,1580,45.927222837186825,Moderate Investment
510000,0.2979591836734693,Low Risk,8,4,2.5,2430,46.41569355014733,Moderate Investment
503000,0.29533527696793,Low Risk,7,3,2.75,1540,39.93105813754073,Moderate Investment
500000,0.0043731778425655,Low Risk,7,2,1.0,1010,25.875461873060907,Low Investment
500000,0.003206997084548,Low Risk,8,3,2.5,1940,32.31544565878299,Low Investment
495000,0.0067055393586005,Low Risk,6,3,1.0,990,23.915280397873435,Low Investment
495000,0.0023323615160349,Low Risk,9,4,2.75,2656,38.19489873871626,Moderate Investment
492000,0.0064139941690962,Low Risk,7,4,2.5,3305,34.093458162485774,Low Investment
485000,0.1486880466472303,Low Risk,7,3,2.0,1610,34.252334700113806,Low Investment
480500,0.0011661807580174,Low Risk,8,4,2.5,2180,33.875524235668294,Low Investment
475000,0.0,Low Risk,7,2,1.0,820,25.192513368983956,Low Investment
460000,0.1513119533527697,Low Risk,7,3,2.0,1760,34.75836048705197,Low Investment
440000,0.2950437317784256,Low Risk,6,3,1.75,1500,36.8124444583028,Moderate Investment
428000,0.0,Low Risk,8,2,2.0,1350,29.609625668449198,Low Investment
425000,0.1513119533527697,Low Risk,8,2,2.5,1150,35.127344444271216,Moderate Investment
420000,0.1481049562682215,Low Risk,6,2,1.5,1040,28.704946913830465,Low Investment
420000,0.1478134110787172,Low Risk,7,3,2.25,1770,34.645156764004305,Low Investment
417250,0.1483965014577259,Low Risk,8,3,2.25,1606,37.22997770536786,Moderate Investment
415000,0.0040816326530612,Low Risk,7,4,3.0,1830,30.056313434464695,Low Investment
409500,0.29533527696793,Low Risk,7,4,2.75,2140,42.53533621240704,Moderate Investment
405000,0.2932944606413993,Low Risk,8,3,2.25,1660,43.170281099452765,Moderate Investment
380000,0.0040816326530612,Low Risk,7,5,1.75,3000,34.184655680454,Low Investment
379500,0.2956268221574343,Low Risk,7,2,1.0,1640,39.21009962426528,Moderate Investment
375000,0.0087463556851311,Low Risk,8,3,2.5,1830,32.24290235574749,Low Investment
365000,0.2921282798833818,Low Risk,7,5,2.75,2410,44.128981462714954,Moderate Investment
361280,0.1498542274052478,Low Risk,7,2,1.0,820,31.18668246519387,Low Investment
352000,0.444606413994169,Medium Risk,7,5,2.5,2420,50.254844795060876,Moderate Investment
350000,0.0037900874635568,Low Risk,6,3,1.0,1010,23.85213825790056,Low Investment
339950,0.1518950437317784,Low Risk,7,3,2.25,1630,34.43409051932461,Low Investment
339950,0.1527696793002915,Low Risk,8,2,1.0,820,34.30330054099562,Low Investment
335000,0.297667638483965,Low Risk,7,3,2.0,1570,40.10456650192544,Moderate Investment
314950,0.0011661807580174,Low Risk,7,3,1.0,1040,26.827395893422302,Low Investment
314500,0.1466472303206997,Low Risk,8,3,1.75,1870,37.86588921282799,Moderate Investment
313000,0.0040816326530612,Low Risk,8,3,1.75,2190,33.018880279384476,Low Investment
310000,0.1510204081632652,Low Risk,7,3,1.75,1840,34.9606024227873,Low Investment
310000,0.146938775510204,Low Risk,7,3,1.75,2070,35.41231037869693,Moderate Investment
305450,0.1478134110787172,Low Risk,7,3,2.5,1600,34.190611309458845,Low Investment
300000,0.1478134110787172,Low Risk,6,2,1.0,760,27.944622004646014,Low Investment
280000,0.1510204081632652,Low Risk,7,3,2.5,1600,34.318891192840766,Low Investment
275000,0.1527696793002915,Low Risk,8,3,2.5,1600,37.388862038321825,Moderate Investment
265000,0.0049562682215743,Low Risk,6,5,1.5,1500,27.20894591602875,Low Investment
255000,0.0058309037900874,Low Risk,7,5,2.25,2060,31.741257541977827,Low Investment
253000,0.007871720116618,Low Risk,7,3,1.75,1250,27.657114793969534,Low Investment
250000,0.2967930029154518,Low Risk,6,1,1.0,1100,33.81289658720631,Low Investment
249000,0.2947521865889212,Low Risk,7,3,1.0,1110,38.75800190205952,Moderate Investment
248500,0.2956268221574343,Low Risk,7,4,1.75,1720,41.424003367580795,Moderate Investment
246000,0.1513119533527697,Low Risk,6,3,1.0,1400,30.79579364213218,Low Investment
245000,0.2959183673469387,Low Risk,7,3,1.5,1260,39.205718651096795,Moderate Investment
239900,0.1478134110787172,Low Risk,7,3,2.0,1410,33.68258991908452,Low Investment
